Road Segment ID,Road Segment Name
V003320,大鵬路(長安路~中清路間)(西東)
V003400,台灣大道三段、黎明路三段(向北)
V003461,臺灣大道-黎明路(往北)
V004040,五權路-英才路-林森路(向南)
V014900,臺灣大道-惠中路-(往北)
V014922,臺灣大道-惠中路-慢車道(往東)
V014940,臺灣大道-惠中路-(往南)
V014960,臺灣大道-惠中路-快車道(往西)
V014961,臺灣大道-惠中路-慢車道(往西)
V016600,中清路三段、大雅交流道(向北)
V016940,中清路一段(武昌路~漢口路間)(向南)
V016960,漢口路(山西路~中清路間)(東西)
V017860,經貿七路、中清路二段(向西)
V018420,經貿五路(中平路~中清路間)(西東)
V021440,臺灣大道-河南路-(往南)
V021460,臺灣大道-河南路-快車道(往西)
V021461,臺灣大道-河南路-慢車道(往西)
V028800,經貿路、河南路二段（往環中路）
V034160,文心路三段231號
V040600,中清路二段(經貿一路~敦化路間)(向北)
V040660,敦化路(后庄七街~中清路間)(向西)
V058700,五權西路-益豐路(往北)
V058740,五權西路-益豐路(往南)
V058760,五權西路-益豐路(往西)
V064522,河南路二段、凱旋路(往中清路)
V069200,環中路-朝馬路橋下快車道(往北)
V069201,環中路-朝馬路橋外慢車道(往北)
V069240,環中路-朝馬路橋外慢車道(往南)
V069260,環中路-朝馬路(往西)
V069450,黎明路三段、中平路(往臺灣大道)
V086300,大雅交流道、環中路一段(向北)
V086360,環中路一段、大雅交流道(向西)
V086620,環中路一段、中清路二段(向東)
V086640,中清路二段、環中路一段(向南)
V087220,環中路二段、凱旋路(向東)
V087360,環中路二段、中科路(向西)
V087600,中清路、環中路一段(向北)
V091960,環中路一段、松竹路三段(向西)
V094800,中清路二段、黎明路三段(向北)
V115900,市政路-環中路橋下快車道(往北)
V115901,市政路-環中路橋外慢車道(往北)
V115940,市政路-環中路橋下快車道(往南)
V115941,市政路-環中路橋外慢車道(往南)
V115960,市政路-環中路(往西)
V115961,市政路-環中路(往西)
V116102,五權西路-環中路橋外慢車道(往北)
V116141,五權西路-環中路橋下快車道(往南)
V116142,五權西路-環中路橋外慢車道(往南)
V117920,環中路一段、中康街(向東)
V118600,五權西路-國一北交流道(往東進城)
V118620,五權西路南屯交流道口(向東)
V118621,五權西路-國一北交流道(下交流道)
V150110,松竹路一段\東山路一段交叉口
V160101,崇德路二段往豐原/北平路四段前(崇德路二段50號)
V160201,崇德路三段往豐原/昌平路二段前(公車站:崇德九路口)
V160701,臺灣大道福康路CMS(往沙鹿)
V160801,臺灣大道福康路CMS(往中區)
V161101,臺灣大道/大墩路(往沙鹿)(CMS)
V161201,臺灣大道/大墩路(往中區)(CMS)
V494840,五權西路-龍富路(往南)
V496240,中清路二段(中平路509巷~經貿一路間)(向南)
V630000,朝富路、朝馬路（東側人行道）
